"rep","mes","tick_extinct"
"12793784",39,40,7802
"12830863",51,40,9702
"12843900",55,40,2502
"12849021",57,40,11002
"12887810",67,40,3702
"12928595",79,40,902
"12933686",81,40,8002
"12941670",85,40,2902
"12941770",86,40,9002
"12962577",92,40,1102
"13015031",6,41,7202
"13061718",17,41,3502
"13061806",18,41,7802
"13067190",20,41,37302
"13077826",24,41,13802
"13128023",38,41,6802
"13172977",51,41,3102
"13184135",55,41,2302
"13228724",67,41,902
"13267369",79,41,3902
"13288499",86,41,6002
"13288556",87,41,4702
"13297280",92,41,7302
"13392122",17,42,2402
"13413944",24,42,24502
"13469043",38,42,13702
"13476783",41,42,13302
"13497041",48,42,13002
"13503889",51,42,3602
"13511365",55,42,2002
"13515088",57,42,16102
"13530141",61,42,4002
"13552427",67,42,502
"13600555",79,42,1902
"13619385",85,42,1502
"13619495",86,42,10002
"13619628",87,42,12202
"13627472",92,42,602
"13658276",4,43,14002
"13706841",17,43,1902
"13729323",24,43,14702
"13770407",38,43,9302
"13778202",41,43,23302
"13822285",55,43,4002
"13862758",67,43,2402
"13931884",86,43,37602
"13931915",87,43,2102
"13948975",92,43,902
"14007493",6,44,9902
"14032874",17,44,1202
"14115072",39,44,24502
"14120245",41,44,16202
"14145592",51,44,10602
"14160283",55,44,3102
"14177589",61,44,14302
"14199416",67,44,4002
"14241187",79,44,2902
"14267209",86,44,16302
"14267359",87,44,14002
"14283283",92,44,3602
"14327214",4,45,6102
"14329438",6,45,11102
"14354545",17,45,4102
"14364654",20,45,9702
"14375122",24,45,3502
"14473916",48,45,13802
"14503729",57,45,9402
"14541969",67,45,802
"14592885",81,45,3402
"14598438",85,45,5002
"14598595",86,45,14702
"14598631",87,45,2602
"14613045",92,45,7102
"14664063",6,46,7802
"14703110",17,46,3002
"14777983",38,46,5102
"14778064",39,46,7102
"14829908",55,46,6902
"14924105",79,46,5902
"14929221",81,46,10502
"14941860",87,46,13102
"14958604",92,46,1702
"14999539",3,47,18302
"15009592",6,47,4102
"15029629",17,47,702
"15029752",18,47,11302
"15042961",24,47,5002
"15123609",48,47,5402
"15129291",51,47,902
"15140304",55,47,4702
"15179410",67,47,5002
"15225542",79,47,7302
"15230652",81,47,9902
"15242909",85,47,13802
"15243028",86,47,10902
"15243208",87,47,17002
"15248374",89,47,15502
"15253764",92,47,5802
"15308029",6,48,5402
"15347682",17,48,4302
"15427295",38,48,3502
"15427711",39,48,40602
"15433046",41,48,32402
"15475483",55,48,5602
"15493837",61,48,46002
"15515862",67,48,2302
"15556571",79,48,6402
"15561660",81,48,7802
"15569220",85,48,5702
"15569314",86,48,8402
"15587513",92,48,1502
"15628711",6,49,18302
"15676823",20,49,3402
"15686716",24,49,3202
"15698944",28,49,9302
"15736432",39,49,15302
"15741141",41,49,19402
"15768141",55,49,4602
