C1,C2,C3,C4,r1_sing,r2_sing,a1_sing,a2_sing,r1,r2,a11,a22,a12,a21,N1_equilibrium,N2_equilibrium,outcome_single,outcome_pair
-2.06e-05,3.2,-2.0000000000000003e-06,0.9591836734693877,[0.3125],[1.04255319],[-5.59966057e-05],[-5.43656366e-06],0.0,0.0,-2.06e-05,-2.0000000000000003e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,1.0510204081632653,[0.3125],[0.95145631],[-5.59966057e-05],[-5.43656366e-06],0.0,0.0,-2.06e-05,-2.0000000000000003e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,1.1428571428571428,[0.3125],[0.875],[-5.59966057e-05],[-5.43656366e-06],0.7913232554289239,0.07166494057276843,-0.00025918069775518156,-2.1707005939174656e-06,-2.5e-05,-2.5e-05,1184.3273931837614,19374.73821171933,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,1.2346938775510203,[0.3125],[0.80991736],[-5.59966057e-05],[-5.43656366e-06],0.7901232073692659,0.0719253299672105,-0.0002581873126127967,-2.1857367238657117e-06,-2.5e-05,-2.5e-05,1172.4302203663276,19496.663981874204,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,1.3265306122448979,[0.3125],[0.75384615],[-5.59966057e-05],[-5.43656366e-06],0.8274054882481939,0.07220792587106029,-0.0002909026392570864,-2.2010471065928627e-06,-2.5e-05,-2.5e-05,1043.811550339547,20950.31813469555,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,1.4183673469387754,[0.3125],[0.70503597],[-5.59966057e-05],[-5.43656366e-06],0.7876426159138225,0.07255261987118862,-0.0002561459621689221,-2.2167750233519573e-06,-2.5e-05,-2.5e-05,1185.495163396291,19359.31266556302,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,1.5102040816326532,[0.3125],[0.66216216],[-5.59966057e-05],[-5.43656366e-06],0.8115878035515305,0.07280315629451442,-0.00027654458263760715,-2.2324392111544955e-06,-2.5e-05,-2.5e-05,1082.2223638264634,20492.20286504252,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,1.6020408163265307,[0.3125],[0.62420382],[-5.59966057e-05],[-5.43656366e-06],0.7922816271215305,0.0731602719807886,-0.0002599767704456929,-2.248701463782901e-06,-2.5e-05,-2.5e-05,1173.6101554199572,19486.80996612729,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,1.6938775510204083,[0.3125],[0.59036145],[-5.59966057e-05],[-5.43656366e-06],0.7719895514402815,0.07376198013778786,-0.00024363169553475613,-2.2661694583334125e-06,-2.5e-05,-2.5e-05,1297.726409155601,18232.890641498896,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,1.7857142857142858,[0.3125],[0.56],[-5.59966057e-05],[-5.43656366e-06],0.740960780399989,0.07456855395102531,-0.00022060319127917814,-2.2848612779061478e-06,-2.5e-05,-2.5e-05,1415.6096112276293,17146.911302307908,False,False
